Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Label,Description,TxHash
2024-04-08 06:25:56,16832.452809,ZEUS,,,,,Sent,Withdraw/Close: Sending tokens | Mint: ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq | Tx: 5SyoiqVT8ytPVEwPdzoNMAZcLKnknD9pKLYJjdYFFzb3E4ZmrLLZKGZRuB28RoNeyC5a5tisWZSx1fuEYKZNLBsC,5SyoiqVT8ytPVEwPdzoNMAZcLKnknD9pKLYJjdYFFzb3E4ZmrLLZKGZRuB28RoNeyC5a5tisWZSx1fuEYKZNLBsC
2024-04-08 06:25:56,34.496162,USDC,,,,,Sent,Withdraw/Close: Sending tokens | Mint: EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v | Tx: 5SyoiqVT8ytPVEwPdzoNMAZcLKnknD9pKLYJjdYFFzb3E4ZmrLLZKGZRuB28RoNeyC5a5tisWZSx1fuEYKZNLBsC,5SyoiqVT8ytPVEwPdzoNMAZcLKnknD9pKLYJjdYFFzb3E4ZmrLLZKGZRuB28RoNeyC5a5tisWZSx1fuEYKZNLBsC
2024-04-08 06:25:56,0.05704394,SOL,,,,,Sent,Withdraw/Close: Sending tokens | Mint: So11111111111111111111111111111111111111112 | Tx: 5SyoiqVT8ytPVEwPdzoNMAZcLKnknD9pKLYJjdYFFzb3E4ZmrLLZKGZRuB28RoNeyC5a5tisWZSx1fuEYKZNLBsC,5SyoiqVT8ytPVEwPdzoNMAZcLKnknD9pKLYJjdYFFzb3E4ZmrLLZKGZRuB28RoNeyC5a5tisWZSx1fuEYKZNLBsC
2024-04-08 06:24:55,1572.3560550000038,ZEUS,,,,,Sent,Withdraw/Close: Sending tokens | Mint: ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq | Tx: 5kfKToWgXN1kDxitxTnCwi6v9BY1pMDmfKoYgm3GTNLjkyvbgdxNbQmGzGdjBqevKnsudJtYJMtsnUyfDJJrF5s5,5kfKToWgXN1kDxitxTnCwi6v9BY1pMDmfKoYgm3GTNLjkyvbgdxNbQmGzGdjBqevKnsudJtYJMtsnUyfDJJrF5s5
2024-04-08 06:24:55,308.75653,USDC,,,,,Sent,Withdraw/Close: Sending tokens | Mint: EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v | Tx: 5kfKToWgXN1kDxitxTnCwi6v9BY1pMDmfKoYgm3GTNLjkyvbgdxNbQmGzGdjBqevKnsudJtYJMtsnUyfDJJrF5s5,5kfKToWgXN1kDxitxTnCwi6v9BY1pMDmfKoYgm3GTNLjkyvbgdxNbQmGzGdjBqevKnsudJtYJMtsnUyfDJJrF5s5
2024-04-08 06:24:55,0.000295416,SOL,,,,,Sent,Withdraw/Close: Sending tokens | Mint: So11111111111111111111111111111111111111112 | Tx: 5kfKToWgXN1kDxitxTnCwi6v9BY1pMDmfKoYgm3GTNLjkyvbgdxNbQmGzGdjBqevKnsudJtYJMtsnUyfDJJrF5s5,5kfKToWgXN1kDxitxTnCwi6v9BY1pMDmfKoYgm3GTNLjkyvbgdxNbQmGzGdjBqevKnsudJtYJMtsnUyfDJJrF5s5
2024-04-08 06:06:34,,,5759.0786880000005,USDC,,,Received,Open/Add: Receiving tokens | Mint: EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v | Tx: 3tGm1EJZSF1GjKvrZJpkJEStoD3byaZqB6v36yAMYwLeAYNJc2SkBzGGsHqzwAK71hQwd3gkAbHsefjMEs24kR5z,3tGm1EJZSF1GjKvrZJpkJEStoD3byaZqB6v36yAMYwLeAYNJc2SkBzGGsHqzwAK71hQwd3gkAbHsefjMEs24kR5z
2024-04-08 06:06:34,,,0.000383497,SOL,,,Received,Open/Add: Receiving tokens | Mint: So11111111111111111111111111111111111111112 | Tx: 3tGm1EJZSF1GjKvrZJpkJEStoD3byaZqB6v36yAMYwLeAYNJc2SkBzGGsHqzwAK71hQwd3gkAbHsefjMEs24kR5z,3tGm1EJZSF1GjKvrZJpkJEStoD3byaZqB6v36yAMYwLeAYNJc2SkBzGGsHqzwAK71hQwd3gkAbHsefjMEs24kR5z
2024-04-08 06:05:51,,,1.5000001440057531e-05,ZEUS,,,Received,Open/Add: Receiving tokens | Mint: ZEUS1aR7aX8DFFJf5QjWj2ftDDdNTroMNGo8YoQm3Gq | Tx: 4CtPKVfJuxDMtYJgbGtBJRNky6ULC5cwyie4FABhKA5g5KiaeyzJip9u6ePqjp2iKhEqt8GTKgDPAxmB6JC8ds2H,4CtPKVfJuxDMtYJgbGtBJRNky6ULC5cwyie4FABhKA5g5KiaeyzJip9u6ePqjp2iKhEqt8GTKgDPAxmB6JC8ds2H
2024-04-08 06:05:51,,,5759.0786800000005,USDC,,,Received,Open/Add: Receiving tokens | Mint: EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v | Tx: 4CtPKVfJuxDMtYJgbGtBJRNky6ULC5cwyie4FABhKA5g5KiaeyzJip9u6ePqjp2iKhEqt8GTKgDPAxmB6JC8ds2H,4CtPKVfJuxDMtYJgbGtBJRNky6ULC5cwyie4FABhKA5g5KiaeyzJip9u6ePqjp2iKhEqt8GTKgDPAxmB6JC8ds2H
2024-04-08 06:05:51,,,0.000129999,SOL,,,Received,Open/Add: Receiving tokens | Mint: So11111111111111111111111111111111111111112 | Tx: 4CtPKVfJuxDMtYJgbGtBJRNky6ULC5cwyie4FABhKA5g5KiaeyzJip9u6ePqjp2iKhEqt8GTKgDPAxmB6JC8ds2H,4CtPKVfJuxDMtYJgbGtBJRNky6ULC5cwyie4FABhKA5g5KiaeyzJip9u6ePqjp2iKhEqt8GTKgDPAxmB6JC8ds2H
